Supplier,PO Number,Description
Bunnings - QLD,3093/M00002,Job Start Up Misc
,3093/M00002,LEVEL SPIRIT EMPIRE 1200MM DIGITAL
Officeworks Superstores P/L,3093/M00003,Samsung Tablet
,3093/M00003,Cases
,3093/M00003,Screen protectors
,3093/M00003,Tablet
Reali Supply,3093/M00005,Argyle Zip Sided 150mm Derby Style Lace-Up Safety Boot
,3093/M00005,Hi Vis Soft Shell Jacket with 3M Tape
,3093/M00005,Cotton Drill Taped Cargo Pants - Navy
,3093/M00005,Men's Lightweight Taped Two Tone Long Sleeve Shirt - Yellow/Navy
,3093/M00005,Vented Hard Hat Type 1 with Georgiou Pad Print
Europcar WA,3093/M00006,Other Charges (Hire Desk Use Only)
,3093/M00006,Car hire
Reali Supply,3093/M00007,Argyle Zip Sided 150mm Derby Style Lace-Up Safety Boot
,3093/M00007,Vented Hard Hat Type 1 with Georgiou Pad Print
,3093/M00007,Cotton Drill Taped Cargo Pants - Nav
,3093/M00007,Men's Lightweight Taped Two Tone Long Sleeve Shirt - Yellow/Navy
,3093/M00007,Hi Vis Soft Shell Jacket with 3M Tape
Telco Antennas Pty Ltd,3093/M00008,Telstra and Optus survey for 4-20 Lorrimer
Jobfit Health Group Pty Ltd,3093/M00009,Jacob Moss - Medical Full
,3093/M00009,Medical
Success Realty (QLD),3093/M00010,Rent and Bond 44A Gordon
,3093/M00010,Rent and Bond 2/4 Waverley
,3093/M00010,Rent and Bond 5/77 Anzac
,3093/M00010,Rent and Bond 1/15 Wapiti
,3093/M00010,Rent and Bond 1/9 Sunning
,3093/M00010,Rent and Bond 1/46 McGee
Oracle Corporation Aust P/L,3093/M00011,Sept-Nov
,3093/M00011,Dec-Feb
,3093/M00011,Mar-May
,3093/M00011,June-Aug
,3093/M00011,Sept-Oct
Jobfit Health Group Pty Ltd,3093/M00012,Shane Robinson - Full Medical
,3093/M00012,Medical
Jobfit Health Group Pty Ltd,3093/M00013,Jobfit Basic Medical - Michael Swadling
,3093/M00013,Medical
Master Hire,3093/M00014,Contract 142933-01 - Enclosed Furniture
,3093/M00014,ENCLOSED FURNITURE TRAILER - TANDEM
,3093/M00014,ENCLOSED FURNITURE TRAILER - TANDEM
Jaybro Group Pty Ltd (formerl,3093/M00015,Prefilled Silt Sausage 200x1300mm of 120 @
,3093/M00015,Stake Hardwood 50x25x1200mm Painted
